"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"56586099999","2019-01-06T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","025000,1,9,9","+0052,1","-0041,1","99999,9",,,,,,,,,,,"99999,9,08050,1","2,1,003,1,+999,9",,,"SYN05856586 32975 01601 10052 21041 38050 52003 333 05307 31019=",
"56586099999","2019-01-06T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","220,1,N,0020,1","99999,9,9,N","014000,1,9,9","+0155,1","-0050,1","99999,9",,,,,,,,,,,"99999,9,08058,1","2,1,008,1,+999,9",,,"SYN04256586 32964 02202 10155 21050 38058 52008=",
"56586099999","2019-01-06T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0050,1","99999,9,9,N","030000,1,9,9","+0195,1","-0087,1","99999,9",,,,,,,,,,"240,N,+0037,1","99999,9,08029,1","7,1,029,1,+999,9",,,"SYN05856586 32980 02005 10195 21087 38029 57029 333 05402 20037=",
"56586099999","2019-01-06T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0040,1","99999,9,9,N","030000,1,9,9","+0196,1","-0069,1","99999,9",,,,,,,,,,,"99999,9,08024,1","7,1,005,1,+999,9",,,"SYN05256586 32980 02004 10196 21069 38024 57005 333 05301=",
"56586099999","2019-01-06T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","140,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0149,1","-0060,1","99999,9",,,,,,,,,,,"99999,9,08042,1","2,1,018,1,+999,9",,,"SYN05256586 32980 01402 10149 21060 38042 52018 333 05204=",
"56586099999","2019-01-06T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","020,1,N,0010,1","00240,1,W,N","023000,1,9,9","+0026,1","-0025,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0203,1","99999,9,08053,1","2,1,004,1,+999,9",,,"SYN05856586 32/73 90201 10026 21025 38053 52004 333 05156 10203=",
"56586099999","2019-01-06T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,9","022000,1,9,9","+0002,1","-0027,1","99999,9","06,9999,9,9","24,9999,9,9",,,,,,,,,"99999,9,08052,1","7,1,001,1,+010,1",,,"SYN004BUFR",
"56586099999","2019-01-07T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","019000,1,9,9","-0009,1","-0029,1","99999,9",,,,,,,,,,,"99999,9,08065,1","2,1,013,1,+999,9",,,"SYN05856586 32969 03201 11009 21029 38065 52013 333 00256 31028=",
"56586099999","2019-01-07T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","013000,1,9,9","+0083,1","-0012,1","99999,9",,,,,,,,,,,"99999,9,08076,1","2,1,011,1,+999,9",,,"SYN04256586 32963 02501 10083 21012 38076 52011=",
"56586099999","2019-01-07T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","220,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0185,2","-0036,1","99999,9",,,,,,,,,,"240,N,-0010,1","99999,9,08043,1","7,1,033,1,+999,9",,,"SYN05856586 32980 02202 10185 21036 38043 57033 333 00151 21010=",
